"Domain","Profile","Primed","Iteration","Prompt","Response","Lexical_Similarity","Semantic_Similarity","Syntactic_Similarity","Positional_Similarity"
"X3","A","Yes","1","Act as a Software specialist. When should a team adopt event sourcing?","Adopt event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","1","Act as a Software specialist. Which versioning policy fits a public API?","Version via semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","1","Act as a Software specialist. How can we quarantine flaky tests in CI?","Quarantine flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","1","Act as a Software specialist. What practices encourage immutability across services?","Prefer immutability widely.","0.538","0.426","0.407","0.404"
"X3","A","Yes","1","Act as a Software specialist. How should we plan small, safe refactors?","Refactor in small steps.","0.515","0.416","0.410","0.397"
"X3","A","Yes","2","Act as a Software specialist. When should a team adopt event sourcing?","Use event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","2","Act as a Software specialist. Which versioning policy fits a public API?","Follow semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","2","Act as a Software specialist. How can we quarantine flaky tests in CI?","Isolate flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","2","Act as a Software specialist. What practices encourage immutability across services?","Favor immutability.","0.538","0.426","0.407","0.404"
"X3","A","Yes","2","Act as a Software specialist. How should we plan small, safe refactors?","Refactor incrementally.","0.515","0.416","0.410","0.397"
"X3","A","Yes","3","Act as a Software specialist. When should a team adopt event sourcing?","Apply event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","3","Act as a Software specialist. Which versioning policy fits a public API?","Use semantic versioning.","0.517","0.422","0.425","0.423"
"X3","A","Yes","3","Act as a Software specialist. How can we quarantine flaky tests in CI?","Quarantine test flakiness.","0.529","0.409","0.426","0.419"
"X3","A","Yes","3","Act as a Software specialist. What practices encourage immutability across services?","Keep state immutable.","0.538","0.426","0.407","0.404"
"X3","A","Yes","3","Act as a Software specialist. How should we plan small, safe refactors?","Small, safe refactors.","0.515","0.416","0.410","0.397"
"X3","A","Yes","4","Act as a Software specialist. When should a team adopt event sourcing?","Choose event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","4","Act as a Software specialist. Which versioning policy fits a public API?","Semantic versioning, please.","0.517","0.422","0.425","0.423"
"X3","A","Yes","4","Act as a Software specialist. How can we quarantine flaky tests in CI?","Box off flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","4","Act as a Software specialist. What practices encourage immutability across services?","Immutability first.","0.538","0.426","0.407","0.404"
"X3","A","Yes","4","Act as a Software specialist. How should we plan small, safe refactors?","Tiny refactor steps.","0.515","0.416","0.410","0.397"
"X3","A","Yes","5","Act as a Software specialist. When should a team adopt event sourcing?","Adopt sourcing of events.","0.531","0.425","0.419","0.416"
"X3","A","Yes","5","Act as a Software specialist. Which versioning policy fits a public API?","Keep to semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","5","Act as a Software specialist. How can we quarantine flaky tests in CI?","Fence flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","5","Act as a Software specialist. What practices encourage immutability across services?","Adopt immutable state.","0.538","0.426","0.407","0.404"
"X3","A","Yes","5","Act as a Software specialist. How should we plan small, safe refactors?","Refactor step by step.","0.515","0.416","0.410","0.397"
"X3","A","Yes","6","Act as a Software specialist. When should a team adopt event sourcing?","Adopt event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","6","Act as a Software specialist. Which versioning policy fits a public API?","Version via semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","6","Act as a Software specialist. How can we quarantine flaky tests in CI?","Quarantine flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","6","Act as a Software specialist. What practices encourage immutability across services?","Prefer immutability widely.","0.538","0.426","0.407","0.404"
"X3","A","Yes","6","Act as a Software specialist. How should we plan small, safe refactors?","Refactor in small steps.","0.515","0.416","0.410","0.397"
"X3","A","Yes","7","Act as a Software specialist. When should a team adopt event sourcing?","Use event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","7","Act as a Software specialist. Which versioning policy fits a public API?","Follow semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","7","Act as a Software specialist. How can we quarantine flaky tests in CI?","Isolate flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","7","Act as a Software specialist. What practices encourage immutability across services?","Favor immutability.","0.538","0.426","0.407","0.404"
"X3","A","Yes","7","Act as a Software specialist. How should we plan small, safe refactors?","Refactor incrementally.","0.515","0.416","0.410","0.397"
"X3","A","Yes","8","Act as a Software specialist. When should a team adopt event sourcing?","Apply event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","8","Act as a Software specialist. Which versioning policy fits a public API?","Use semantic versioning.","0.517","0.422","0.425","0.423"
"X3","A","Yes","8","Act as a Software specialist. How can we quarantine flaky tests in CI?","Quarantine test flakiness.","0.529","0.409","0.426","0.419"
"X3","A","Yes","8","Act as a Software specialist. What practices encourage immutability across services?","Keep state immutable.","0.538","0.426","0.407","0.404"
"X3","A","Yes","8","Act as a Software specialist. How should we plan small, safe refactors?","Small, safe refactors.","0.515","0.416","0.410","0.397"
"X3","A","Yes","9","Act as a Software specialist. When should a team adopt event sourcing?","Choose event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","9","Act as a Software specialist. Which versioning policy fits a public API?","Semantic versioning, please.","0.517","0.422","0.425","0.423"
"X3","A","Yes","9","Act as a Software specialist. How can we quarantine flaky tests in CI?","Box off flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","9","Act as a Software specialist. What practices encourage immutability across services?","Immutability first.","0.538","0.426","0.407","0.404"
"X3","A","Yes","9","Act as a Software specialist. How should we plan small, safe refactors?","Tiny refactor steps.","0.515","0.416","0.410","0.397"
"X3","A","Yes","10","Act as a Software specialist. When should a team adopt event sourcing?","Adopt sourcing of events.","0.531","0.425","0.419","0.416"
"X3","A","Yes","10","Act as a Software specialist. Which versioning policy fits a public API?","Keep to semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","10","Act as a Software specialist. How can we quarantine flaky tests in CI?","Fence flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","10","Act as a Software specialist. What practices encourage immutability across services?","Adopt immutable state.","0.538","0.426","0.407","0.404"
"X3","A","Yes","10","Act as a Software specialist. How should we plan small, safe refactors?","Refactor step by step.","0.515","0.416","0.410","0.397"
"X3","A","Yes","1","Act as a Software specialist. When should a team adopt event sourcing?","Adopt event sourcing.","0.531","0.425","0.419","0.416"
"X3","A","Yes","1","Act as a Software specialist. Which versioning policy fits a public API?","Version via semver.","0.517","0.422","0.425","0.423"
"X3","A","Yes","1","Act as a Software specialist. How can we quarantine flaky tests in CI?","Quarantine flaky tests.","0.529","0.409","0.426","0.419"
"X3","A","Yes","1","Act as a Software specialist. What practices encourage immutability across services?","Prefer immutability widely.","0.538","0.426","0.407","0.404"
